 
# QPROP Version 1.22
# 
# T28 Trojan Prop                                                                 
# 
# CobraCM2217-26 Brushless DC Motor                                               
#   0.17900      Rmotor (Ohms)                  
#   0.36000      Io     (Amps)                  
#    6.9500      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
   32.000   6500.      0.000  -13.16     -0.4242      -288.7     935.261    0.0513  -6.0198   1.4589   0.30848 -0.2737E-01 -0.5787E-02  -4.9912  -8.7820   47.96      -421.2      -0.4372  0.2792E-01
   34.000   6500.      0.000  -15.57     -0.5416      -368.7     935.246   -0.0342  11.5256   1.4360   0.32776 -0.3238E-01 -0.7390E-02  -5.5820  16.5507  -31.99      -529.4      -0.5115  0.2984E-01
   36.000   6500.      0.000  -18.03     -0.6462      -439.9     935.232   -0.1103   4.2635   1.4755   0.34704 -0.3749E-01 -0.8817E-02  -6.1234   6.2908  -103.2      -649.0      -0.5797  0.4055E-01
   38.000   6500.      0.000  -20.41     -0.7427      -505.5     935.220   -0.1805   2.9945   1.5342   0.36632 -0.4244E-01 -0.1013E-01  -6.5784   4.5943  -168.8      -775.6      -0.6397  0.5548E-01
   40.000   6500.      0.000  -22.61     -0.7557      -514.4     935.218   -0.1900   2.8950   1.7581   0.38560 -0.4701E-01 -0.1031E-01  -6.9222   5.0896  -177.7      -904.3      -0.6808  0.9136E-01
   42.000   6500.      0.000  -24.32     -0.7571      -515.4     935.218   -0.1910   2.8845   1.9821   0.40488 -0.5057E-01 -0.1033E-01  -7.0746   5.7174  -178.7      -1022.      -0.7057  0.1226    
   44.000   6500.      0.000  -25.71     -0.7469      -508.4     935.219   -0.1836   2.9608   2.2251   0.42416 -0.5346E-01 -0.1019E-01  -7.1122   6.5882  -171.7      -1131.      -0.7197  0.1517    

    2.000   7000.      0.000   15.76      0.3327       243.9    1007.302    0.6022   0.4021   0.1292   0.01790  0.2825E-01  0.3914E-02  16.8822   0.0520   606.6       31.51       0.5288  0.2426E-01
    4.000   7000.      0.000   14.59      0.3254       238.6    1007.301    0.5968   0.3968   0.2447   0.03581  0.2617E-01  0.3828E-02  14.5083   0.0971   601.2       58.38       0.4883  0.2226E-01
    6.000   7000.      0.000   13.32      0.3155       231.3    1007.300    0.5896   0.3894   0.3454   0.05371  0.2387E-01  0.3712E-02  12.2739   0.1345   593.9       79.89       0.4441  0.2072E-01
    8.000   7000.      0.000   11.90      0.3013       220.8    1007.298    0.5793   0.3785   0.4312   0.07161  0.2134E-01  0.3544E-02  10.1754   0.1632   583.5       95.23       0.3956  0.1937E-01
   10.000   7000.      0.000   10.38      0.2839       208.1    1007.296    0.5666   0.3646   0.4989   0.08951  0.1861E-01  0.3340E-02   8.2292   0.1819   570.7       103.8       0.3440  0.1885E-01
   12.000   7000.      0.000   8.765      0.2618       191.9    1007.293    0.5506   0.3461   0.5480   0.10742  0.1572E-01  0.3080E-02   6.4427   0.1897   554.6       105.2       0.2898  0.1850E-01
   14.000   7000.      0.000   7.054      0.2344       171.9    1007.289    0.5306   0.3215   0.5747   0.12532  0.1265E-01  0.2758E-02   4.8107   0.1848   534.5       98.76       0.2330  0.1836E-01
   16.000   7000.      0.000   5.250      0.2010       147.3    1007.285    0.5063   0.2889   0.5701   0.14322  0.9413E-02  0.2365E-02   3.3255   0.1647   510.0       84.00       0.1740  0.1840E-01
   18.000   7000.      0.000   3.356      0.1608       117.9    1007.280    0.4770   0.2453   0.5124   0.16112  0.6016E-02  0.1892E-02   1.9772   0.1257   480.5       60.40       0.1128  0.1861E-01
   20.000   7000.      0.000   1.374      0.1133       83.05    1007.273    0.4425   0.1863   0.3308   0.17903  0.2463E-02  0.1333E-02   0.7541   0.0616   445.7       27.47       0.0498  0.1901E-01
   22.000   7000.      0.000 -0.6934      0.5783E-01   42.39    1007.266    0.4021   0.1047  -0.3599   0.19693 -0.1243E-02  0.6803E-03  -0.3555  -0.0377   405.0      -15.26      -0.0148  0.1959E-01
   24.000   7000.      0.000  -2.842     -0.6134E-02  -4.497    1007.258    0.3555  -0.0126  15.1682   0.21483 -0.5095E-02 -0.7216E-04  -1.3635  -0.1905   358.1      -68.21      -0.0808  0.2035E-01
   26.000   7000.      0.000  -5.069     -0.7910E-01  -57.98    1007.248    0.3024  -0.1903   2.2728   0.23274 -0.9088E-02 -0.9306E-03  -2.2811  -0.4326   304.6      -131.8      -0.1478  0.2127E-01
   28.000   7000.      0.000  -7.371     -0.1615      -118.4    1007.238    0.2424  -0.4849   1.7431   0.25064 -0.1322E-01 -0.1900E-02  -3.1189  -0.8452   244.2      -206.4      -0.2158  0.2236E-01
   30.000   7000.      0.000  -9.747     -0.2538      -186.1    1007.226    0.1753  -1.0539   1.5716   0.26854 -0.1747E-01 -0.2986E-02  -3.8865  -1.6563   176.5      -292.4      -0.2843  0.2360E-01
   32.000   7000.      0.000  -12.19     -0.3564      -261.2    1007.212    0.1006  -2.5770   1.4937   0.28644 -0.2186E-01 -0.4192E-02  -4.5925  -3.8491   101.4      -390.2      -0.3533  0.2500E-01
   34.000   7000.      0.000  -14.71     -0.4695      -344.2    1007.198    0.0183 -18.6764   1.4531   0.30435 -0.2637E-01 -0.5523E-02  -5.2444 -27.1383   18.43      -500.1      -0.4225  0.2656E-01
   36.000   7000.      0.000  -17.29     -0.5936      -435.1    1007.181   -0.0720   6.0001   1.4307   0.32225 -0.3100E-01 -0.6983E-02  -5.8490   8.5843  -72.52      -622.5      -0.4918  0.2825E-01
   38.000   7000.      0.000  -19.99     -0.7057      -517.3    1007.167   -0.1536   3.3438   1.4683   0.34015 -0.3584E-01 -0.8302E-02  -6.4286   4.9097  -154.7      -759.5      -0.5576  0.3806E-01
   40.000   7000.      0.000  -22.59     -0.8124      -595.5    1007.153   -0.2313   2.5566   1.5174   0.35805 -0.4050E-01 -0.9558E-02  -6.9168   3.8794  -232.9      -903.7      -0.6167  0.5036E-01
   42.000   7000.      0.000  -25.16     -0.8579      -628.9    1007.147   -0.2644   2.3616   1.6802   0.37596 -0.4511E-01 -0.1009E-01  -7.3441   3.9681  -266.3      -1057.      -0.6644  0.7805E-01
   44.000   7000.      0.000  -27.14     -0.8945      -655.7    1007.142   -0.2910   2.2371   1.8215   0.39386 -0.4867E-01 -0.1052E-01  -7.5498   4.0749  -293.1      -1194.      -0.6945  0.1023    

    2.000   7500.      0.000   18.22      0.3809       299.1    1079.251    0.6372   0.4350   0.1218   0.01671  0.2846E-01  0.3903E-02  18.2920   0.0530   687.7       36.45       0.5328  0.2365E-01
    4.000   7500.      0.000   16.97      0.3746       294.2    1079.250    0.6326   0.4309   0.2308   0.03342  0.2651E-01  0.3839E-02  15.8951   0.0994   682.8       67.90       0.4951  0.2248E-01
    6.000   7500.      0.000   15.63      0.3639       285.8    1079.249    0.6249   0.4238   0.3280   0.05013  0.2440E-01  0.3730E-02  13.6377   0.1390   674.4       93.76       0.4543  0.2076E-01
    8.000   7500.      0.000   14.15      0.3488       273.9    1079.247    0.6138   0.4135   0.4133   0.06684  0.2210E-01  0.3574E-02  11.5106   0.1709   662.5       113.2       0.4099  0.1889E-01
   10.000   7500.      0.000   12.55      0.3314       260.3    1079.244    0.6012   0.4012   0.4821   0.08355  0.1960E-01  0.3397E-02   9.5137   0.1934   648.9       125.5       0.3624  0.1836E-01
   12.000   7500.      0.000   10.85      0.3096       243.2    1079.241    0.5853   0.3849   0.5354   0.10026  0.1695E-01  0.3173E-02   7.6665   0.2061   631.7       130.2       0.3126  0.1799E-01
   14.000   7500.      0.000   9.056      0.2827       222.1    1079.238    0.5658   0.3637   0.5710   0.11696  0.1414E-01  0.2897E-02   5.9657   0.2076   610.6       126.8       0.2605  0.1778E-01
   16.000   7500.      0.000   7.168      0.2501       196.4    1079.234    0.5420   0.3358   0.5839   0.13367  0.1119E-01  0.2563E-02   4.4055   0.1961   585.0       114.7       0.2062  0.1773E-01
   18.000   7500.      0.000   5.188      0.2110       165.8    1079.229    0.5136   0.2990   0.5634   0.15038  0.8102E-02  0.2163E-02   2.9781   0.1685   554.3       93.38       0.1501  0.1783E-01
   20.000   7500.      0.000   3.118      0.1650       129.6    1079.223    0.4801   0.2501   0.4813   0.16709  0.4870E-02  0.1691E-02   1.6742   0.1204   518.1       62.36       0.0922  0.1809E-01
   22.000   7500.      0.000  0.9614      0.1113       87.44    1079.216    0.4410   0.1837   0.2419   0.18380  0.1502E-02  0.1141E-02   0.4836   0.0444   476.0       21.15       0.0328  0.1850E-01
   24.000   7500.      0.000  -1.280      0.4956E-01   38.93    1079.208    0.3961   0.0911  -0.7889   0.20051 -0.1998E-02  0.5079E-03  -0.6041  -0.0718   427.4      -30.71      -0.0280  0.1906E-01
   26.000   7500.      0.000  -3.602     -0.2085E-01  -16.37    1079.198    0.3448  -0.0440   5.7197   0.21722 -0.5625E-02 -0.2136E-03  -1.5990  -0.2516   372.1      -93.64      -0.0900  0.1977E-01
   28.000   7500.      0.000  -6.002     -0.1004      -78.82    1079.188    0.2870  -0.2545   2.1322   0.23393 -0.9374E-02 -0.1028E-02  -2.5108  -0.5427   309.7      -168.1      -0.1528  0.2062E-01
   30.000   7500.      0.000  -8.479     -0.1894      -148.8    1079.176    0.2222  -0.6204   1.7099   0.25064 -0.1324E-01 -0.1941E-02  -3.3488  -1.0609   239.7      -254.4      -0.2164  0.2161E-01
   32.000   7500.      0.000  -11.03     -0.2883      -226.5    1079.164    0.1501  -1.3977   1.5583   0.26735 -0.1722E-01 -0.2955E-02  -4.1211  -2.1781   162.0      -352.9      -0.2806  0.2273E-01
   34.000   7500.      0.000  -13.65     -0.3976      -312.3    1079.149    0.0706  -4.0959   1.4863   0.28406 -0.2132E-01 -0.4074E-02  -4.8354  -6.0877   76.24      -464.1      -0.3452  0.2399E-01
   36.000   7500.      0.000  -16.34     -0.5174      -406.4    1079.134   -0.0166  22.7257   1.4477   0.30077 -0.2552E-01 -0.5302E-02  -5.4983  32.8991  -17.88      -588.3      -0.4100  0.2537E-01
   38.000   7500.      0.000  -19.10     -0.6482      -509.1    1079.117   -0.1117   4.2222   1.4258   0.31747 -0.2983E-01 -0.6642E-02  -6.1158   6.0202  -120.6      -725.8      -0.4749  0.2688E-01
   40.000   7500.      0.000  -21.98     -0.7751      -608.8    1079.100   -0.2041   2.7638   1.4443   0.33418 -0.3433E-01 -0.7943E-02  -6.7107   3.9916  -220.3      -879.2      -0.5381  0.3339E-01
   42.000   7500.      0.000  -24.78     -0.8968      -704.4    1079.084   -0.2927   2.2300   1.4775   0.35089 -0.3870E-01 -0.9191E-02  -7.2210   3.2947  -315.9      -1041.      -0.5960  0.4231E-01
   44.000   7500.      0.000  -27.54      -1.001      -786.4    1079.071   -0.3688   1.9763   1.5410   0.36760 -0.4302E-01 -0.1026E-01  -7.6725   3.0456  -397.9      -1212.      -0.6469  0.5719E-01

    2.000   8000.      0.000   20.88      0.4325       362.3    1151.200    0.6747   0.4664   0.1153   0.01566  0.2866E-01  0.3895E-02  19.7082   0.0538   776.8       41.76       0.5366  0.2309E-01
    4.000   8000.      0.000   19.55      0.4259       356.8    1151.199    0.6700   0.4626   0.2192   0.03133  0.2684E-01  0.3836E-02  17.2962   0.1014   771.3       78.22       0.5013  0.2200E-01
    6.000   8000.      0.000   18.13      0.4149       347.6    1151.198    0.6620   0.4561   0.3129   0.04699  0.2489E-01  0.3737E-02  15.0167   0.1427   762.1       108.8       0.4635  0.2032E-01
    8.000   8000.      0.000   16.59      0.3996       334.8    1151.196    0.6509   0.4468   0.3964   0.06266  0.2277E-01  0.3600E-02  12.8624   0.1771   749.3       132.7       0.4226  0.1845E-01
   10.000   8000.      0.000   14.90      0.3823       320.3    1151.193    0.6382   0.4359   0.4654   0.07832  0.2046E-01  0.3443E-02  10.8208   0.2029   734.7       149.0       0.3786  0.1793E-01
   12.000   8000.      0.000   13.12      0.3606       302.1    1151.191    0.6225   0.4216   0.5212   0.09399  0.1801E-01  0.3248E-02   8.9197   0.2198   716.6       157.5       0.3324  0.1754E-01
   14.000   8000.      0.000   11.25      0.3341       279.9    1151.187    0.6031   0.4031   0.5625   0.10965  0.1544E-01  0.3009E-02   7.1571   0.2267   694.3       157.4       0.2843  0.1728E-01
   16.000   8000.      0.000   9.273      0.3021       253.1    1151.183    0.5799   0.3791   0.5863   0.12532  0.1273E-01  0.2721E-02   5.5288   0.2223   667.5       148.4       0.2342  0.1717E-01
   18.000   8000.      0.000   7.208      0.2640       221.1    1151.178    0.5521   0.3479   0.5867   0.14098  0.9894E-02  0.2378E-02   4.0289   0.2041   635.6       129.7       0.1824  0.1719E-01
   20.000   8000.      0.000   5.051      0.2191       183.6    1151.172    0.5195   0.3070   0.5502   0.15665  0.6933E-02  0.1974E-02   2.6497   0.1689   598.0       101.0       0.1289  0.1734E-01
   22.000   8000.      0.000   2.805      0.1670       139.9    1151.165    0.4816   0.2524   0.4409   0.17231  0.3850E-02  0.1505E-02   1.3828   0.1113   554.4       61.70       0.0740  0.1762E-01
   24.000   8000.      0.000  0.4722      0.1072       89.79    1151.158    0.4380   0.1781   0.1262   0.18798  0.6482E-03  0.9654E-03   0.2191   0.0225   504.2       11.33       0.0177  0.1803E-01
   26.000   8000.      0.000  -1.944      0.3903E-01   32.69    1151.149    0.3884   0.0731  -1.5461   0.20364 -0.2669E-02  0.3515E-03  -0.8505  -0.1131   447.1      -50.55      -0.0397  0.1858E-01
   28.000   8000.      0.000  -4.442     -0.3790E-01  -31.75    1151.139    0.3324  -0.0830   3.9168   0.21931 -0.6097E-02 -0.3414E-03  -1.8348  -0.3250   382.7      -124.4      -0.0981  0.1925E-01
   30.000   8000.      0.000  -7.017     -0.1240      -103.9    1151.127    0.2697  -0.3346   2.0262   0.23497 -0.9632E-02 -0.1117E-02  -2.7423  -0.6780   310.5      -210.5      -0.1573  0.2003E-01
   32.000   8000.      0.000  -9.669     -0.2197      -184.1    1151.115    0.2001  -0.7993   1.6809   0.25064 -0.1327E-01 -0.1979E-02  -3.5809  -1.3435   230.3      -309.4      -0.2172  0.2093E-01
   34.000   8000.      0.000  -12.40     -0.3254      -272.6    1151.101    0.1232  -1.9228   1.5460   0.26630 -0.1701E-01 -0.2931E-02  -4.3581  -2.9725   141.8      -421.4      -0.2775  0.2196E-01
   36.000   8000.      0.000  -15.19     -0.4414      -369.8    1151.086    0.0388  -8.2865   1.4793   0.28197 -0.2086E-01 -0.3975E-02  -5.0803 -12.2578   44.62      -547.0      -0.3383  0.2309E-01
   38.000   8000.      0.000  -18.06     -0.5680      -475.8    1151.070   -0.0534   7.7461   1.4425   0.29763 -0.2479E-01 -0.5116E-02  -5.7535  11.1742  -61.43      -686.4      -0.3992  0.2434E-01
   40.000   8000.      0.000  -21.00     -0.7055      -591.0    1151.052   -0.1534   3.3463   1.4214   0.31330 -0.2883E-01 -0.6354E-02  -6.3832   4.7564  -176.6      -840.0      -0.4603  0.2569E-01
   42.000   8000.      0.000  -24.01     -0.8541      -715.6    1151.032   -0.2616   2.3760   1.4091   0.32896 -0.3295E-01 -0.7693E-02  -6.9740   3.3480  -301.2      -1008.      -0.5214  0.2714E-01
   44.000   8000.      0.000  -27.07     -0.9794      -820.5    1151.016   -0.3528   2.0204   1.4517   0.34463 -0.3716E-01 -0.8822E-02  -7.5275   2.9331  -406.1      -1191.      -0.5770  0.3710E-01

    2.000   8500.      0.000   23.73      0.4876       434.0    1223.150    0.7148   0.4963   0.1094   0.01474  0.2886E-01  0.3890E-02  21.1314   0.0543   874.4       47.47       0.5403  0.2257E-01
    4.000   8500.      0.000   22.33      0.4808       427.9    1223.149    0.7099   0.4928   0.2087   0.02949  0.2715E-01  0.3836E-02  18.7058   0.1028   868.3       89.30       0.5071  0.2155E-01
    6.000   8500.      0.000   20.83      0.4694       417.8    1223.147    0.7017   0.4869   0.2991   0.04423  0.2533E-01  0.3745E-02  16.4070   0.1456   858.2       125.0       0.4718  0.1991E-01
    8.000   8500.      0.000   19.22      0.4539       404.1    1223.145    0.6904   0.4785   0.3806   0.05897  0.2337E-01  0.3622E-02  14.2293   0.1821   844.4       153.8       0.4339  0.1804E-01
   10.000   8500.      0.000   17.45      0.4365       388.5    1223.143    0.6777   0.4687   0.4492   0.07372  0.2122E-01  0.3483E-02  12.1479   0.2106   828.9       174.5       0.3929  0.1753E-01
   12.000   8500.      0.000   15.59      0.4149       369.3    1223.140    0.6620   0.4561   0.5065   0.08846  0.1895E-01  0.3310E-02  10.1986   0.2310   809.7       187.0       0.3500  0.1714E-01
   14.000   8500.      0.000   13.63      0.3886       345.9    1223.137    0.6428   0.4399   0.5515   0.10320  0.1657E-01  0.3101E-02   8.3804   0.2426   786.3       190.8       0.3052  0.1685E-01
   16.000   8500.      0.000   11.57      0.3571       317.9    1223.133    0.6199   0.4192   0.5823   0.11795  0.1407E-01  0.2849E-02   6.6904   0.2441   758.2       185.1       0.2588  0.1669E-01
   18.000   8500.      0.000   9.417      0.3197       284.6    1223.128    0.5927   0.3926   0.5956   0.13269  0.1145E-01  0.2551E-02   5.1238   0.2338   725.0       169.5       0.2107  0.1665E-01
   20.000   8500.      0.000   7.173      0.2760       245.6    1223.122    0.5608   0.3581   0.5840   0.14743  0.8722E-02  0.2202E-02   3.6748   0.2091   686.0       143.5       0.1610  0.1672E-01
   22.000   8500.      0.000   4.838      0.2252       200.5    1223.115    0.5239   0.3128   0.5309   0.16218  0.5883E-02  0.1797E-02   2.3362   0.1661   640.8       106.4       0.1100  0.1690E-01
   24.000   8500.      0.000   2.415      0.1670       148.6    1223.108    0.4815   0.2524   0.3899   0.17692  0.2936E-02  0.1332E-02   1.1003   0.0984   589.0       57.95       0.0577  0.1720E-01
   26.000   8500.      0.000 -0.9514E-01  0.1008       89.72    1223.099    0.4334   0.1693  -0.0276   0.19166 -0.1157E-03  0.8042E-03  -0.0410  -0.0047   530.0      -2.474       0.0043  0.1761E-01
   28.000   8500.      0.000  -2.688      0.2616E-01   23.29    1223.089    0.3790   0.0502  -3.2322   0.20641 -0.3269E-02  0.2088E-03  -1.0956  -0.1624   463.6      -75.28      -0.0502  0.1813E-01
   30.000   8500.      0.000  -5.363     -0.5735E-01  -51.05    1223.079    0.3183  -0.1311   3.1516   0.22115 -0.6521E-02 -0.4576E-03  -2.0714  -0.4133   389.3      -160.9      -0.1054  0.1876E-01
   32.000   8500.      0.000  -8.116     -0.1501      -133.6    1223.066    0.2507  -0.4358   1.9432   0.23589 -0.9868E-02 -0.1198E-02  -2.9758  -0.8469   306.7      -259.7      -0.1614  0.1949E-01
   34.000   8500.      0.000  -10.95     -0.2526      -224.8    1223.053    0.1762  -1.0435   1.6552   0.25064 -0.1331E-01 -0.2015E-02  -3.8157  -1.7272   215.5      -372.1      -0.2180  0.2032E-01
   36.000   8500.      0.000  -13.85     -0.3650      -324.9    1223.038    0.0943  -2.8168   1.5344   0.26538 -0.1684E-01 -0.2913E-02  -4.5976  -4.3222   115.4      -498.6      -0.2750  0.2126E-01
   38.000   8500.      0.000  -16.83     -0.4878      -434.2    1223.022    0.0050 -71.6058   1.4725   0.28012 -0.2046E-01 -0.3892E-02  -5.3275-105.4432   6.064      -639.4      -0.3323  0.2229E-01
   40.000   8500.      0.000  -19.88     -0.6212      -553.0    1223.005   -0.0921   4.9072   1.4377   0.29487 -0.2417E-01 -0.4957E-02  -6.0106   7.0551  -112.7      -795.0      -0.3899  0.2342E-01
   42.000   8500.      0.000  -22.99     -0.7656      -681.4    1222.986   -0.1972   2.8258   1.4172   0.30961 -0.2796E-01 -0.6108E-02  -6.6519   4.0048  -241.1      -965.8      -0.4476  0.2464E-01
   44.000   8500.      0.000  -26.18     -0.9211      -819.9    1222.966   -0.3104   2.1601   1.4051   0.32435 -0.3184E-01 -0.7349E-02  -7.2555   3.0352  -379.6      -1152.      -0.5054  0.2595E-01

    2.000   9000.      0.000   26.78      0.5463       514.8    1295.100    0.7576   0.5247   0.1040   0.01392  0.2905E-01  0.3888E-02  22.5620   0.0546   981.1       53.57       0.5439  0.2210E-01
    4.000   9000.      0.000   25.29      0.5392       508.2    1295.099    0.7524   0.5215   0.1991   0.02785  0.2743E-01  0.3837E-02  20.1241   0.1038   974.5       101.2       0.5125  0.2114E-01
    6.000   9000.      0.000   23.72      0.5275       497.1    1295.097    0.7439   0.5160   0.2863   0.04177  0.2573E-01  0.3754E-02  17.8082   0.1477   963.4       142.3       0.4794  0.1954E-01
    8.000   9000.      0.000   22.03      0.5132       483.7    1295.095    0.7335   0.5092   0.3644   0.05570  0.2390E-01  0.3652E-02  15.6004   0.1855   950.0       176.3       0.4440  0.1830E-01
   10.000   9000.      0.000   20.20      0.4942       465.8    1295.093    0.7197   0.4997   0.4337   0.06962  0.2191E-01  0.3517E-02  13.4933   0.2167   932.0       202.0       0.4058  0.1717E-01
   12.000   9000.      0.000   18.25      0.4726       445.4    1295.090    0.7040   0.4886   0.4916   0.08355  0.1979E-01  0.3363E-02  11.5007   0.2402   911.7       219.0       0.3656  0.1677E-01
   14.000   9000.      0.000   16.20      0.4465       420.8    1295.087    0.6849   0.4744   0.5390   0.09747  0.1757E-01  0.3177E-02   9.6322   0.2557   887.1       226.8       0.3239  0.1647E-01
   16.000   9000.      0.000   14.06      0.4153       391.4    1295.083    0.6623   0.4564   0.5746   0.11139  0.1525E-01  0.2956E-02   7.8859   0.2622   857.7       224.9       0.2805  0.1628E-01
   18.000   9000.      0.000   11.82      0.3785       356.8    1295.078    0.6355   0.4335   0.5963   0.12532  0.1282E-01  0.2694E-02   6.2582   0.2585   823.0       212.7       0.2356  0.1619E-01
   20.000   9000.      0.000   9.487      0.3356       316.3    1295.072    0.6043   0.4042   0.5998   0.13924  0.1029E-01  0.2389E-02   4.7444   0.2425   782.6       189.7       0.1894  0.1620E-01
   22.000   9000.      0.000   7.063      0.2860       269.6    1295.066    0.5682   0.3663   0.5765   0.15317  0.7661E-02  0.2035E-02   3.3386   0.2112   735.8       155.4       0.1418  0.1630E-01
   24.000   9000.      0.000   4.549      0.2292       216.0    1295.058    0.5268   0.3166   0.5054   0.16709  0.4934E-02  0.1631E-02   2.0344   0.1600   682.3       109.2       0.0930  0.1651E-01
   26.000   9000.      0.000   1.947      0.1647       155.2    1295.050    0.4799   0.2498   0.3260   0.18102  0.2111E-02  0.1172E-02   0.8245   0.0814   621.5       50.61       0.0430  0.1681E-01
   28.000   9000.      0.000 -0.7418      0.9211E-01   86.81    1295.040    0.4270   0.1570  -0.2393   0.19494 -0.8046E-03  0.6555E-03  -0.2980  -0.0376   553.0      -20.77      -0.0078  0.1722E-01
   30.000   9000.      0.000  -3.514      0.1093E-01   10.30    1295.030    0.3680   0.0216 -10.2371   0.20886 -0.3811E-02  0.7775E-04  -1.3403  -0.2212   476.5      -105.4      -0.0596  0.1772E-01
   32.000   9000.      0.000  -6.367     -0.7925E-01  -74.69    1295.018    0.3023  -0.1908   2.7278   0.22279 -0.6905E-02 -0.5640E-03  -2.3093  -0.5204   391.5      -203.7      -0.1121  0.1831E-01
   34.000   9000.      0.000  -9.299     -0.1788      -168.5    1295.005    0.2299  -0.5660   1.8764   0.23671 -0.1009E-01 -0.1272E-02  -3.2115  -1.0620   297.7      -316.2      -0.1652  0.1899E-01
   36.000   9000.      0.000  -12.31     -0.2880      -271.5    1294.991    0.1504  -1.3941   1.6322   0.25064 -0.1335E-01 -0.2050E-02  -4.0532  -2.2755   194.7      -443.1      -0.2188  0.1976E-01
   38.000   9000.      0.000  -15.39     -0.4073      -383.9    1294.975    0.0635  -4.6660   1.5236   0.26456 -0.1669E-01 -0.2899E-02  -4.8401  -7.1092   82.28      -584.9      -0.2729  0.2062E-01
   40.000   9000.      0.000  -18.55     -0.5370      -506.1    1294.959   -0.0308  12.6764   1.4662   0.27849 -0.2012E-01 -0.3822E-02  -5.5775  18.5856  -39.93      -742.0      -0.3273  0.2157E-01
   42.000   9000.      0.000  -21.78     -0.6773      -638.4    1294.940   -0.1329   3.7079   1.4331   0.29241 -0.2362E-01 -0.4820E-02  -6.2701   5.3138  -172.2      -914.8      -0.3819  0.2260E-01
   44.000   9000.      0.000  -25.08     -0.8285      -780.9    1294.921   -0.2430   2.4815   1.4134   0.30633 -0.2720E-01 -0.5896E-02  -6.9224   3.5072  -314.7      -1104.      -0.4366  0.2371E-01

    2.000   9500.      0.000   30.03      0.6087       605.5    1367.050    0.8030   0.5516   0.0992   0.01319  0.2924E-01  0.3888E-02  24.0005   0.0547   1098.       60.07       0.5474  0.2167E-01
    4.000   9500.      0.000   28.46      0.6013       598.2    1367.049    0.7976   0.5486   0.1903   0.02638  0.2771E-01  0.3841E-02  21.5513   0.1044   1090.       113.9       0.5177  0.2076E-01
    6.000   9500.      0.000   26.82      0.5892       586.1    1367.048    0.7888   0.5435   0.2745   0.03957  0.2610E-01  0.3763E-02  19.2203   0.1492   1078.       160.9       0.4865  0.1919E-01
    8.000   9500.      0.000   25.05      0.5747       571.7    1367.046    0.7782   0.5374   0.3506   0.05277  0.2439E-01  0.3671E-02  16.9906   0.1884   1064.       200.4       0.4533  0.1797E-01
   10.000   9500.      0.000   23.14      0.5554       552.6    1367.043    0.7643   0.5289   0.4188   0.06596  0.2253E-01  0.3548E-02  14.8557   0.2215   1045.       231.4       0.4175  0.1684E-01
   12.000   9500.      0.000   21.10      0.5338       531.0    1367.040    0.7485   0.5190   0.4769   0.07915  0.2054E-01  0.3409E-02  12.8239   0.2475   1023.       253.3       0.3798  0.1644E-01
   14.000   9500.      0.000   18.97      0.5077       505.1    1367.037    0.7295   0.5065   0.5258   0.09234  0.1847E-01  0.3243E-02  10.9098   0.2663   997.3       265.6       0.3406  0.1613E-01
   16.000   9500.      0.000   16.74      0.4768       474.3    1367.033    0.7070   0.4908   0.5647   0.10553  0.1630E-01  0.3046E-02   9.1121   0.2772   966.5       267.9       0.3000  0.1591E-01
   18.000   9500.      0.000   14.42      0.4405       438.2    1367.028    0.6806   0.4710   0.5922   0.11872  0.1403E-01  0.2814E-02   7.4281   0.2789   930.4       259.5       0.2579  0.1578E-01
   20.000   9500.      0.000   12.00      0.3983       396.2    1367.023    0.6499   0.4460   0.6055   0.13191  0.1168E-01  0.2544E-02   5.8542   0.2701   888.4       239.9       0.2146  0.1575E-01
   22.000   9500.      0.000   9.483      0.3496       347.8    1367.016    0.6145   0.4141   0.5998   0.14511  0.9231E-02  0.2233E-02   4.3856   0.2484   840.0       208.6       0.1700  0.1580E-01
   24.000   9500.      0.000   6.878      0.2940       292.5    1367.009    0.5740   0.3728   0.5643   0.15830  0.6695E-02  0.1878E-02   3.0167   0.2104   784.7       165.1       0.1243  0.1593E-01
   26.000   9500.      0.000   4.183      0.2310       229.9    1367.001    0.5282   0.3184   0.4732   0.17149  0.4072E-02  0.1476E-02   1.7416   0.1506   722.0       108.8       0.0775  0.1615E-01
   28.000   9500.      0.000   1.400      0.1602       159.4    1366.992    0.4766   0.2446   0.2459   0.18468  0.1363E-02  0.1023E-02   0.5538   0.0602   651.5       39.19       0.0298  0.1646E-01
   30.000   9500.      0.000  -1.469      0.8108E-01   80.66    1366.981    0.4190   0.1408  -0.5465   0.19787 -0.1430E-02  0.5179E-03  -0.5530  -0.0770   572.8      -44.08      -0.0188  0.1686E-01
   32.000   9500.      0.000  -4.422     -0.6747E-02  -6.712    1366.970    0.3551  -0.0138  21.0812   0.21106 -0.4304E-02 -0.4309E-04  -1.5852  -0.2915   485.4      -141.5      -0.0681  0.1734E-01
